year,Month,Day,Max at 7h (�F),Min at 7h  (�F),Max at 18h  (�F),Min at 18h  (�F),max temp,Min at 7h (�C),Max at 18h (�C),Min at 18h (�C)
1921,4,2,51,44,55,48,10.6,6.7,12.8,8.9
1921,4,3,53,44,55,45,11.7,6.7,12.8,7.2
1921,4,4,50,42,53,43,10,5.6,11.7,6.1
1921,4,5,51,45,54,46,10.6,7.2,12.2,7.8
1921,4,6,53,48,55,48,11.7,8.9,12.8,8.9
1921,4,7,53,41,55,46,11.7,5,12.8,7.8
1921,4,8,49,41,53,46,9.4,5,11.7,7.8
1921,4,9,51,39,56,41,10.6,3.9,13.3,5
1921,4,10,48,42,59,47,8.9,5.6,15,8.3
1921,4,11,55,43,56,46,12.8,6.1,13.3,7.8
1921,4,12,54,42,57,44,12.2,5.6,13.9,6.7
1921,4,13,52,44,59,46,11.1,6.7,15,7.8
1921,4,14,53,42,50,43,11.7,5.6,10,6.1
1921,4,15,46,35,46,37,7.8,1.7,7.8,2.8
1921,4,16,43,32,48,38,6.1,0,8.9,3.3
1921,4,17,48,40,52,41,8.9,4.4,11.1,5
1921,4,18,49,40,52,42,9.4,4.4,11.1,5.6
1921,4,19,48,37,53,39,8.9,2.8,11.7,3.9
1921,4,20,50,35,52,40,10,1.7,11.1,4.4
1921,4,21,49,48,52,46,9.4,8.9,11.1,7.8
1921,4,22,50,38,50,42,10,3.3,10,5.6
1921,4,23,49,46,53,47,9.4,7.8,11.7,8.3
1921,4,24,50,38,53,41,10,3.3,11.7,5
1921,4,25,51,39,53,43,10.6,3.9,11.7,6.1
1921,4,26,50,48,54,48,10,8.9,12.2,8.9
1921,4,27,51,47,55,50,10.6,8.3,12.8,10
1921,4,28,53,50,55,51,11.7,10,12.8,10.6
1921,4,29,51,47,62,51,10.6,8.3,16.7,10.6
1921,4,30,59,48,62,53,15,8.9,16.7,11.7
1921,5,1,58,49.1,71,54,14.4,9.5,21.7,12.2
1921,5,2,52,48,57,51,11.1,8.9,13.9,10.6
1921,5,3,49,41,52,42,9.4,5,11.1,5.6
1921,5,4,50,41,53,43,10,5,11.7,6.1
1921,5,5,53,37,53,42,11.7,2.8,11.7,5.6
1921,5,6,53,49,56,53,11.7,9.4,13.3,11.7
1921,5,7,58,50,63,52,14.4,10,17.2,11.1
1921,5,8,60,46,62,53,15.6,7.8,16.7,11.7
1921,5,9,53,45,55,47,11.7,7.2,12.8,8.3
1921,5,10,52,42,54,51,11.1,5.6,12.2,10.6
1921,5,11,53,51,60,53,11.7,10.6,15.6,11.7
1921,5,12,62,52,64,52,16.7,11.1,17.8,11.1
1921,5,13,55,45,55,50,12.8,7.2,12.8,10
1921,5,14,55,52,59,53,12.8,11.1,15,11.7
1921,5,15,59,42,60,46,15,5.6,15.6,7.8
1921,5,16,54,45,56,48,12.2,7.2,13.3,8.9
1921,5,17,55,41,56,45,12.8,5,13.3,7.2
1921,5,18,52,40,56,46,11.1,4.4,13.3,7.8
1921,5,19,56,50,60,52,13.3,10,15.6,11.1
1921,5,20,56,47,57,50,13.3,8.3,13.9,10
1921,5,21,55,47,58,53,12.8,8.3,14.4,11.7
1921,5,22,56,52,58,54,13.3,11.1,14.4,12.2
1921,5,23,58,47,61,51,14.4,8.3,16.1,10.6
1921,5,24,60,51,65,53,15.6,10.6,18.3,11.7
1921,5,25,58,49,65,50,14.4,9.4,18.3,10
1921,5,26,55,48,58,50,12.8,8.9,14.4,10
1921,5,27,53,43,56,46,11.7,6.1,13.3,7.8
1921,5,28,53,43,56,45,11.7,6.1,13.3,7.2
1921,5,29,55,40,55,46,12.8,4.4,12.8,7.8
1921,5,30,54,49,58,53,12.2,9.4,14.4,11.7
1921,5,31,53,46,55,50,11.7,7.8,12.8,10
1921,6,1,54,42,60,45,12.2,5.6,15.6,7.2
1921,6,2,58,45,59,50,14.4,7.2,15,10
1921,6,3,62,47,63,53,16.7,8.3,17.2,11.7
1921,6,4,60,52,69,57,15.6,11.1,20.6,13.9
1921,6,5,60,56,65,58,15.6,13.3,18.3,14.4
1921,6,6,64,54,67,58,17.8,12.2,19.4,14.4
1921,6,7,65,53,64,59,18.3,11.7,17.8,15
1921,6,8,63,54,65,56,17.2,12.2,18.3,13.3
1921,6,9,59,45,62,52,15,7.2,16.7,11.1
1921,6,10,60,48,62,52,15.6,8.9,16.7,11.1
1921,6,11,60,53,63,55,15.6,11.7,17.2,12.8
1921,6,12,65,47,67,53,18.3,8.3,19.4,11.7
1921,6,13,64,57,67,59,17.8,13.9,19.4,15
1921,6,14,60,55,70,56,15.6,12.8,21.1,13.3
1921,6,15,64,55,67,60,17.8,12.8,19.4,15.6
1921,6,16,63,55,69,61,17.2,12.8,20.6,16.1
1921,6,17,71,53,76,58,21.7,11.7,24.4,14.4
1921,6,18,62,55,69,58,16.7,12.8,20.6,14.4
1921,6,19,62,51,69,54,16.7,10.6,20.6,12.2
1921,6,20,61,54,66,55,16.1,12.2,18.9,12.8
1921,6,21,65,54,69,56,18.3,12.2,20.6,13.3
1921,6,22,60,55,64,57,15.6,12.8,17.8,13.9
1921,6,23,62,54,64,57,16.7,12.2,17.8,13.9
1921,6,24,63,52,65,59,17.2,11.1,18.3,15
1921,6,25,63,56,68,63,17.2,13.3,20,17.2
1921,6,26,63,57,67,54,17.2,13.9,19.4,12.2
1921,6,27,60,59,66,58,15.6,15,18.9,14.4
1921,6,28,63,56,67,59,17.2,13.3,19.4,15
1921,6,29,63,51,68,57,17.2,10.6,20,13.9
1921,6,30,64,55,68,59,17.8,12.8,20,15
1921,7,1,66,55,71,59,18.9,12.8,21.7,15
1921,7,2,68,54,70,55,20,12.2,21.1,12.8
1921,7,3,62,50,65,54,16.7,10,18.3,12.2
1921,7,4,64,52,65,57,17.8,11.1,18.3,13.9
1921,7,5,66,54,69,61,18.9,12.2,20.6,16.1
1921,7,6,68,58,70,58,20,14.4,21.1,14.4
1921,7,7,67,60,73,62,19.4,15.6,22.8,16.7
1921,7,8,69,60,74,65,20.6,15.6,23.3,18.3
1921,7,9,69,58,72,64,20.6,14.4,22.2,17.8
1921,7,10,70,58,75,61,21.1,14.4,23.9,16.1
1921,7,11,70,57,75,62,21.1,13.9,23.9,16.7
1921,7,12,73,58,75,64,22.8,14.4,23.9,17.8
1921,7,13,72,61,77,68,22.2,16.1,25,20
1921,7,14,66,65,72,65,18.9,18.3,22.2,18.3
1921,7,15,66,63,68,65,18.9,17.2,20,18.3
1921,7,16,65,63,69,60,18.3,17.2,20.6,15.6
1921,7,17,68,62,70,64,20,16.7,21.1,17.8
1921,7,18,76,61,79,64,24.4,16.1,26.1,17.8
1921,7,19,74,63,79,66,23.3,17.2,26.1,18.9
1921,7,20,68,65,72,65,20,18.3,22.2,18.3
1921,7,21,67,55,69,58,19.4,12.8,20.6,14.4
1921,7,22,69,61,72,65,20.6,16.1,22.2,18.3
1921,7,23,67,65,69,66,19.4,18.3,20.6,18.9
1921,7,24,64,50,65,55,17.8,10,18.3,12.8
1921,7,25,64,58,66,61,17.8,14.4,18.9,16.1
1921,7,26,62,56,64,59,16.7,13.3,17.8,15
1921,7,27,61,55,64,55,16.1,12.8,17.8,12.8
1921,7,28,57,55,64,55,13.9,12.8,17.8,12.8
1921,7,29,62,54,66,56,16.7,12.2,18.9,13.3
1921,7,30,63,58,63,60,17.2,14.4,17.2,15.6
1921,7,31,65,58,67,59,18.3,14.4,19.4,15
1921,8,1,65,60,65,59,18.3,15.6,18.3,15
1921,8,2,58,54,62,54,14.4,12.2,16.7,12.2
1921,8,3,62,48,62,52,16.7,8.9,16.7,11.1
1921,8,4,67,53,67,56,19.4,11.7,19.4,13.3
1921,8,5,64,58,64,55,17.8,14.4,17.8,12.8
1921,8,6,63,53,67,57,17.2,11.7,19.4,13.9
1921,8,7,62,53,63,56,16.7,11.7,17.2,13.3
1921,8,8,60,51,64,54,15.6,10.6,17.8,12.2
1921,8,9,56,50,61,54,13.3,10,16.1,12.2
1921,8,10,56,51,61,54,13.3,10.6,16.1,12.2
1921,8,11,59,50,65,52,15,10,18.3,11.1
1921,8,12,59,53,62,54,15,11.7,16.7,12.2
1921,8,13,62,54,64,56,16.7,12.2,17.8,13.3
1921,8,14,61,54,63,55,16.1,12.2,17.2,12.8
1921,8,15,61,53,63,55,16.1,11.7,17.2,12.8
1921,8,16,57,55,64,57,13.9,12.8,17.8,13.9
1921,8,17,64,51,68,56,17.8,10.6,20,13.3
1921,8,18,66,57,76,59,18.9,13.9,24.4,15
1921,8,19,63,57,68,58,17.2,13.9,20,14.4
1921,8,20,63,57,68,57,17.2,13.9,20,13.9
1921,8,21,56,53,64,54,13.3,11.7,17.8,12.2
1921,8,22,59,54,65,56,15,12.2,18.3,13.3
1921,8,23,62,57,68,57,16.7,13.9,20,13.9
1921,8,24,64,51,64,54,17.8,10.6,17.8,12.2
1921,8,25,64,58,67,58,17.8,14.4,19.4,14.4
1921,8,26,63,56,70,58,17.2,13.3,21.1,14.4
1921,8,27,62,60,67,61,16.7,15.6,19.4,16.1
1921,8,28,57,48,60,52,13.9,8.9,15.6,11.1
1921,8,29,58,50,62,50,14.4,10,16.7,10
1921,8,30,60,45,61,47,15.6,7.2,16.1,8.3
1921,8,31,60,55,61,59,15.6,12.8,16.1,15
1921,9,1,62,58,65,59,16.7,14.4,18.3,15
1921,9,2,60,55,64,57,15.6,12.8,17.8,13.9
1921,9,3,59,51,63,53,15,10.6,17.2,11.7
1921,9,4,60,54,64,58,15.6,12.2,17.8,14.4
1921,9,5,63,56,66,57,17.2,13.3,18.9,13.9
1921,9,6,63,53,65,54,17.2,11.7,18.3,12.2
1921,9,7,64,57,67,60,17.8,13.9,19.4,15.6
1921,9,8,62,56,66,58,16.7,13.3,18.9,14.4
1921,9,9,58,56,62,56,14.4,13.3,16.7,13.3
1921,9,10,57,50,61,50,13.9,10,16.1,10
1921,9,11,55,52,60,53,12.8,11.1,15.6,11.7
1921,9,12,62,48,60,50,16.7,8.9,15.6,10
1921,9,13,62,54,62,59,16.7,12.2,16.7,15
1921,9,14,55,54,59,55,12.8,12.2,15,12.8
1921,9,15,57,47,60,48,13.9,8.3,15.6,8.9
1921,9,16,55,44,58,45,12.8,6.7,14.4,7.2
1921,9,17,56,51,58,53,13.3,10.6,14.4,11.7
1921,9,18,58,53,59,55,14.4,11.7,15,12.8
1921,9,19,58,54,61,55,14.4,12.2,16.1,12.8
1921,9,20,59,55,65,55,15,12.8,18.3,12.8
1921,9,21,60,51,63,54,15.6,10.6,17.2,12.2
1921,9,22,65,58,67,60,18.3,14.4,19.4,15.6
1921,9,23,62,59,65,60,16.7,15,18.3,15.6
1921,9,24,57,58,61,57,13.9,14.4,16.1,13.9
1921,9,25,58,48,62,48,14.4,8.9,16.7,8.9
1921,9,26,59,50,63,50,15,10,17.2,10
1921,9,27,59,55,62,58,15,12.8,16.7,14.4
1921,9,28,58,52,62,53,14.4,11.1,16.7,11.7
1921,9,29,58,52,63,54,14.4,11.1,17.2,12.2
1921,9,30,59,54,62,57,15,12.2,16.7,13.9
1921,10,1,61,54,61,59,16.1,12.2,16.1,15
1921,10,2,60,60,64,59,15.6,15.6,17.8,15
1921,10,3,61,57,62,58,16.1,13.9,16.7,14.4
1921,10,4,61,60,65,61,16.1,15.6,18.3,16.1
1921,10,5,61,59,63,60,16.1,15,17.2,15.6
1921,10,6,60,60,65,59,15.6,15.6,18.3,15
1921,10,7,61,55,64,60,16.1,12.8,17.8,15.6
1921,10,8,60,60,62,57,15.6,15.6,16.7,13.9
1921,10,9,62,57,62,60,16.7,13.9,16.7,15.6
1921,10,10,57,59,62,57,13.9,15,16.7,13.9
1921,10,11,57,54,60,55,13.9,12.2,15.6,12.8
1921,10,12,60,50,60,52,15.6,10,15.6,11.1
1921,10,13,60,59,61,60,15.6,15,16.1,15.6
1921,10,14,54,52,59,52,12.2,11.1,15,11.1
1921,10,15,60,45,62,50,15.6,7.2,16.7,10
1921,10,16,60,55,62,57,15.6,12.8,16.7,13.9
1921,10,17,60,56,62,59,15.6,13.3,16.7,15
1921,10,18,59,59,63,59,15,15,17.2,15
1921,10,19,53,56,60,53,11.7,13.3,15.6,11.7
1921,10,20,46,42,56,43,7.8,5.6,13.3,6.1
1921,10,21,59,43,57,43,15,6.1,13.9,6.1
1921,10,22,49,56,59,49,9.4,13.3,15,9.4
1921,10,23,50,45,55,49,10,7.2,12.8,9.4
1921,10,24,45,38,54,38,7.2,3.3,12.2,3.3
1921,10,25,55,43,57,45,12.8,6.1,13.9,7.2
1921,10,26,53,52,57,52,11.7,11.1,13.9,11.1
1921,10,27,57,50,62,50,13.9,10,16.7,10
1921,10,28,54,45,59,45,12.2,7.2,15,7.2
1921,10,29,56,50,58,54,13.3,10,14.4,12.2
1921,10,30,55,46,58,46,12.8,7.8,14.4,7.8
1921,10,31,58,53,59,55,14.4,11.7,15,12.8
1921,11,1,57,56,59,52,13.9,13.3,15,11.1
1921,11,2,60,52,65,57,15.6,11.1,18.3,13.9
1921,11,3,59,56,63,59,15,13.3,17.2,15
1921,11,4,52,57,60,52,11.1,13.9,15.6,11.1
1921,11,5,56,49,57,50,13.3,9.4,13.9,10
1921,11,6,46,45,50,45,7.8,7.2,10,7.2
1921,11,7,40,37,49,37,4.4,2.8,9.4,2.8
1921,11,8,50,33,45,33,10,0.6,7.2,0.6
1921,11,9,52,32,52,49,11.1,0,11.1,9.4
1921,11,10,52,49,52,57,11.1,9.4,11.1,13.9
1921,11,11,47,49,49,47,8.3,9.4,9.4,8.3
1921,11,12,51,45,50,47,10.6,7.2,10,8.3
1921,11,13,52,48,54,50,11.1,8.9,12.2,10
1921,11,14,49,42,51,42,9.4,5.6,10.6,5.6
1921,11,15,54,42,54,49,12.2,5.6,12.2,9.4
1921,11,16,47,47,55,44,8.3,8.3,12.8,6.7
1921,11,17,47,43,52,45,8.3,6.1,11.1,7.2
1921,11,18,48,42,49,41,8.9,5.6,9.4,5
1921,11,19,50,45,50,45,10,7.2,10,7.2
1921,11,20,48,45,50,48,8.9,7.2,10,8.9
1921,11,21,55,46,52,47,12.8,7.8,11.1,8.3
1921,11,22,55,52,56,54,12.8,11.1,13.3,12.2
1921,11,23,54,54,55,54,12.2,12.2,12.8,12.2
1921,11,24,54,54,55,53,12.2,12.2,12.8,11.7
1921,11,25,53,53,54,53,11.7,11.7,12.2,11.7
1921,11,26,50,52,52,48,10,11.1,11.1,8.9
1921,11,27,53,47,55,47,11.7,8.3,12.8,8.3
1921,11,28,52,47,54,46,11.1,8.3,12.2,7.8
1921,11,29,54,47,55,53,12.2,8.3,12.8,11.7
1921,11,30,46,51,53,46,7.8,10.6,11.7,7.8
1921,12,1,46,41,45,39,7.8,5,7.2,3.9
1921,12,2,45,39,49,44,7.2,3.9,9.4,6.7
1921,12,3,47,44,47,44,8.3,6.7,8.3,6.7
1921,12,4,47,45,50,46,8.3,7.2,10,7.8
1921,12,5,54,50,55,53,12.2,10,12.8,11.7
1921,12,6,54,53,55,54,12.2,11.7,12.8,12.2
1921,12,7,54,47,52,46,12.2,8.3,11.1,7.8
1921,12,8,51,48,55,51,10.6,8.9,12.8,10.6
1921,12,9,54,50,55,51,12.2,10,12.8,10.6
1921,12,10,53,50,54,52,11.7,10,12.2,11.1
1921,12,11,53,46,54,43,11.7,7.8,12.2,6.1
1921,12,12,51,41,54,49,10.6,5,12.2,9.4
1921,12,13,49,41,50,43,9.4,5,10,6.1
1921,12,14,49,44,54,48,9.4,6.7,12.2,8.9
1921,12,15,50,47,55,50,10,8.3,12.8,10
1921,12,16,54,51,56,51,12.2,10.6,13.3,10.6
1921,12,17,55,49,55,51,12.8,9.4,12.8,10.6
1921,12,18,54,50,56,52,12.2,10,13.3,11.1
1921,12,19,54,52,55,52,12.2,11.1,12.8,11.1
1921,12,20,54,42,49,42,12.2,5.6,9.4,5.6
1921,12,21,50,45,53,50,10,7.2,11.7,10
1921,12,22,51,48,48,43,10.6,8.9,8.9,6.1
1921,12,23,44,42,48,42,6.7,5.6,8.9,5.6
1921,12,24,42,36,51,46,5.6,2.2,10.6,7.8
1921,12,25,53,46,49,43,11.7,7.8,9.4,6.1
1921,12,26,54,43,54,53,12.2,6.1,12.2,11.7
1921,12,27,53,45,52,45,11.7,7.2,11.1,7.2
1921,12,28,56,47,49,42,13.3,8.3,9.4,5.6
1921,12,29,44,40,45,41,6.7,4.4,7.2,5
1921,12,30,53,41,55,48,11.7,5,12.8,8.9
1921,12,31,50,45,49,45,10,7.2,9.4,7.2
1922,1,1,51,45,55,51,10.6,7.2,12.8,10.6
1922,1,2,55,53,56,48,12.8,11.7,13.3,8.9
1922,1,3,48,42,47,43,8.9,5.6,8.3,6.1
1922,1,4,44,38,42,40,6.7,3.3,5.6,4.4
1922,1,5,42,39,45,41,5.6,3.9,7.2,5
1922,1,6,47,44,48,45,8.3,6.7,8.9,7.2
1922,1,7,49,46,50,44,9.4,7.8,10,6.7
1922,1,8,54,48,52,45,12.2,8.9,11.1,7.2
1922,1,9,55,47,55,50,12.8,8.3,12.8,10
1922,1,10,51,46,50,45,10.6,7.8,10,7.2
1922,1,11,45,41,48,41,7.2,5,8.9,5
1922,1,12,45,32,46,31,7.2,0,7.8,-0.6
1922,1,13,47,45,48,41,8.3,7.2,8.9,5
1922,1,14,43,37,43,39,6.1,2.8,6.1,3.9
1922,1,15,48,39,50,39,8.9,3.9,10,3.9
1922,1,16,39,33,38,34,3.9,0.6,3.3,1.1
1922,1,17,37,33,41,34,2.8,0.6,5,1.1
1922,1,18,49,36,51,42,9.4,2.2,10.6,5.6
1922,1,19,44,36,43,35,6.7,2.2,6.1,1.7
1922,1,20,40,31,45,33,4.4,-0.6,7.2,0.6
1922,1,21,52,42,49,45,11.1,5.6,9.4,7.2
1922,1,22,50,45,52,49,10,7.2,11.1,9.4
1922,1,23,51,50,50,47,10.6,10,10,8.3
1922,1,24,48,43,44,35,8.9,6.1,6.7,1.7
1922,1,25,40,33,49,34,4.4,0.6,9.4,1.1
1922,1,26,49,47,51,47,9.4,8.3,10.6,8.3
1922,1,27,48,45,48,46,8.9,7.2,8.9,7.8
1922,1,28,47,45,50,46,8.3,7.2,10,7.8
1922,1,29,47,46,50,43,8.3,7.8,10,6.1
1922,1,30,48,41,50,47,8.9,5,10,8.3
1922,1,31,47,39,50,39,8.3,3.9,10,3.9
1922,2,1,45,40,50,37,7.2,4.4,10,2.8
1922,2,2,51,47,52,49,10.6,8.3,11.1,9.4
1922,2,3,52,47,52,46,11.1,8.3,11.1,7.8
1922,2,4,46,42,48,43,7.8,5.6,8.9,6.1
1922,2,5,45,39,43,40,7.2,3.9,6.1,4.4
1922,2,6,47,39,48,44,8.3,3.9,8.9,6.7
1922,2,7,49,44,49,48,9.4,6.7,9.4,8.9
1922,2,8,49,48,49,47,9.4,8.9,9.4,8.3
1922,2,9,48,45,50,46,8.9,7.2,10,7.8
1922,2,10,47,45,48,46,8.3,7.2,8.9,7.8
1922,2,11,48,46,47,46,8.9,7.8,8.3,7.8
1922,2,12,47,39,46,40,8.3,3.9,7.8,4.4
1922,2,13,43,39,46,40,6.1,3.9,7.8,4.4
1922,2,14,42,33,47,36,5.6,0.6,8.3,2.2
1922,2,15,49,46,49,47,9.4,7.8,9.4,8.3
1922,2,16,50,48,49,47,10,8.9,9.4,8.3
1922,2,17,47,44,47,39,8.3,6.7,8.3,3.9
1922,2,18,40,36,47,39,4.4,2.2,8.3,3.9
1922,2,19,52,42,53,45,11.1,5.6,11.7,7.2
1922,2,20,45,35,47,35,7.2,1.7,8.3,1.7
1922,2,21,41,36,42,34,5,2.2,5.6,1.1
1922,2,22,42,38,52,41,5.6,3.3,11.1,5
1922,2,23,50,49,54,49,10,9.4,12.2,9.4
1922,2,24,51,50,53,51,10.6,10,11.7,10.6
1922,2,25,51,50,52,46,10.6,10,11.1,7.8
1922,2,26,51,46,50,44,10.6,7.8,10,6.7
1922,2,27,46,39,48,40,7.8,3.9,8.9,4.4
1922,2,28,47,41,50,41,8.3,5,10,5
1922,3,1,47,39,49,42,8.3,3.9,9.4,5.6
1922,3,2,45,38,51,40,7.2,3.3,10.6,4.4
1922,3,3,52,48,53,49,11.1,8.9,11.7,9.4
1922,3,4,49,43,50,42,9.4,6.1,10,5.6
1922,3,5,51,46,51,48,10.6,7.8,10.6,8.9
1922,3,6,49,44,50,42,9.4,6.7,10,5.6
1922,3,7,45,37,47,37,7.2,2.8,8.3,2.8
1922,3,8,45,40,49,42,7.2,4.4,9.4,5.6
1922,3,9,45,38,49,38,7.2,3.3,9.4,3.3
1922,3,10,43,35,49,37,6.1,1.7,9.4,2.8
1922,3,11,46,42,49,42,7.8,5.6,9.4,5.6
1922,3,12,47,44,51,44,8.3,6.7,10.6,6.7
1922,3,13,49,43,49,46,9.4,6.1,9.4,7.8
1922,3,14,46,41,48,42,7.8,5,8.9,5.6
1922,3,15,46,43,50,44,7.8,6.1,10,6.7
1922,3,16,47,44,47,44,8.3,6.7,8.3,6.7
1922,3,17,48,45,48,45,8.9,7.2,8.9,7.2
1922,3,18,45,45,47,43,7.2,7.2,8.3,6.1
1922,3,19,44,38,54,39,6.7,3.3,12.2,3.9
1922,3,20,51,46,47,42,10.6,7.8,8.3,5.6
1922,3,21,43,33,45,33,6.1,0.6,7.2,0.6
1922,3,22,38,31,44,32,3.3,-0.6,6.7,0
1922,3,23,46,33,48,36,7.8,0.6,8.9,2.2
1922,3,24,45,40,51,44,7.2,4.4,10.6,6.7
1922,3,25,45,35,44,37,7.2,1.7,6.7,2.8
1922,3,26,40,37,49,38,4.4,2.8,9.4,3.3
1922,3,27,47,40,47,39,8.3,4.4,8.3,3.9
1922,3,28,42,37,49,40,5.6,2.8,9.4,4.4
1922,3,29,44,36,49,36,6.7,2.2,9.4,2.2
1922,3,30,47,37,50,37,8.3,2.8,10,2.8
1922,3,31,46,40,47,40,7.8,4.4,8.3,4.4
1922,4,1,41,32,44,34,5,0,6.7,1.1
1922,4,2,42,37,46,40,5.6,2.8,7.8,4.4
1922,4,3,40,38,50,38,4.4,3.3,10,3.3
1922,4,4,45,35,52,37,7.2,1.7,11.1,2.8
1922,4,5,46,40,49,41,7.8,4.4,9.4,5
