year,Month,Day,Max (�F),Min (�F),max temp,Min (�C)
1885,1,1,50,43,10,6.1
1885,1,2,44,36,6.7,2.2
1885,1,3,47,34,8.3,1.1
1885,1,4,50,35,10,1.7
1885,1,5,43,37,6.1,2.8
1885,1,6,44,35,6.7,1.7
1885,1,7,50,35,10,1.7
1885,1,8,42,34,5.6,1.1
1885,1,9,50,34,10,1.1
1885,1,10,48,35,8.9,1.7
1885,1,11,49,38,9.4,3.3
1885,1,12,46,36,7.8,2.2
1885,1,13,45,36,7.2,2.2
1885,1,14,41,37,5,2.8
1885,1,15,40,36,4.4,2.2
1885,1,16,45,38,7.2,3.3
1885,1,17,45,38,7.2,3.3
1885,1,18,45,36,7.2,2.2
1885,1,19,42,34,5.6,1.1
1885,1,20,42,32,5.6,0
1885,1,21,42,33,5.6,0.6
1885,1,22,43,33,6.1,0.6
1885,1,23,43,36,6.1,2.2
1885,1,24,46,38,7.8,3.3
1885,1,25,46,37,7.8,2.8
1885,1,26,50,41,10,5
