year,temp,co2,sea_ice,temp_ireland,rainfall_ireland
-566980,,253.0,,,
-566928,215.9,,,,
-566606,,250.2,,,
-566584,,252.8,,,
-566567,216.2,,,,
-566254,,253.9,,,
-566217,,253.0,,,
-566207,216.2,,,,
-565935,,253.2,,,
-565846,216.2,,,,
-565827,,252.8,,,
-565599,,254.5,,,
-565484,216.1,,,,
-565431,,253.9,,,
-565289,,253.9,,,
-565124,216.2,,,,
-565057,,253.2,,,
-564968,,254.3,,,
-564762,216.1,,,,
-564669,,254.5,,,
-564639,,253.7,,,
-564395,216.0,,,,
-564295,,251.4,,,
-564283,,253.9,,,
-564033,216.1,,,,
-563946,,252.6,,,
-563901,,254.3,,,
-563671,216.1,,,,
-563589,,252.4,,,
-563516,,253.7,,,
-563303,216.0,,,,
-563184,,251.4,,,
-563127,,251.4,,,
-562942,216.2,,,,
-562774,,247.6,,,
-562749,,252.6,,,
-562580,216.1,,,,
-562361,,245.8,,,
-562361,,252.4,,,
-562230,216.5,,,,
-561978,,245.7,,,
-561968,,251.4,,,
-561866,216.1,,,,
-561586,,242.3,,,
-561567,,247.6,,,
-561493,215.8,,,,
-561185,,240.1,,,
-561165,,245.8,,,
-561128,216.1,,,,
-560760,216.0,,,,
-560740,,245.7,,,
-560706,,234.1,,,
-560399,216.2,,,,
-560360,,234.6,,,
-560322,,242.3,,,
-560033,216.1,,,,
-559938,,231.9,,,
-559896,,240.1,,,
-559669,216.2,,,,
-559501,,231.6,,,
-559359,,234.1,,,
-559289,215.7,,,,
-559016,,228.3,,,
-558980,,234.6,,,
-558917,215.9,,,,
-558560,216.4,,,,
-558509,,231.9,,,
-558487,,230.3,,,
-558197,216.2,,,,
-558022,,231.6,,,
-557923,,230.2,,,
-557818,215.8,,,,
-557687,,229.7,,,
-557511,,228.3,,,
-557447,216.0,,,,
-557366,,234.5,,,
-557063,215.6,,,,
-556979,,230.3,,,
-556828,,238.1,,,
-556686,215.8,,,,
-556443,,230.2,,,
-556356,,240.4,,,
-556307,215.7,,,,
-556233,,229.7,,,
-556205,,245.6,,,
-555937,,234.5,,,
-555929,215.8,,,,
-555888,,250.5,,,
-555707,,244.0,,,
-555552,215.8,,,,
-555435,,249.1,,,
-555435,,238.1,,,
-555249,,243.0,,,
-555181,216.0,,,,
-554973,,241.0,,,
-554939,,240.4,,,
-554795,215.6,,,,
-554774,,245.6,,,
-554457,,233.9,,,
-554414,,250.5,,,
-554403,215.4,,,,
-554193,,244.0,,,
-554013,215.4,,,,
-553892,,226.7,,,
-553889,,249.1,,,
-553687,,243.0,,,
-553628,215.6,,,,
-553395,,241.0,,,
-553246,215.6,,,,
-553208,,224.3,,,
-552881,,233.9,,,
-552877,216.0,,,,
-552530,,223.6,,,
-552490,215.5,,,,
-552304,,226.7,,,
-552087,215.0,,,,
-551859,,220.3,,,
-551687,215.1,,,,
-551676,,224.3,,,
-551669,,222.1,,,
-551296,,226.3,,,
-551278,214.8,,,,
-551071,,222.3,,,
-551011,,223.6,,,
-550873,214.9,,,,
-550732,,221.7,,,
-550454,214.5,,,,
-550300,,220.3,,,
-550161,,219.9,,,
-550041,214.7,,,,
-550029,,222.1,,,
-549620,214.4,,,,
-549502,,226.3,,,
-549431,,215.2,,,
-549197,214.4,,,,
-549174,,222.3,,,
-548766,214.1,,,,
-548687,,221.7,,,
-548633,,213.6,,,
-548334,214.1,,,,
-548281,,208.8,,,
-547892,213.8,,,,
-547880,,219.9,,,
-547770,,202.5,,,
-547449,213.8,,,,
-546983,213.2,215.2,,,
-546821,,204.6,,,
-546526,213.4,,,,
-546062,213.3,,,,
-546022,,213.6,,,
-545857,,209.7,,,
-545623,,208.8,,,
-545585,212.9,,,,
-545108,212.9,,,,
-545063,,202.5,,,
-544880,,209.6,,,
-544626,212.8,,,,
-544138,212.6,,,,
-544006,,204.6,,,
-543915,,210.3,,,
-543653,212.7,,,,
-543135,212.0,,,,
-542936,,208.1,,,
-542854,,209.7,,,
-542593,211.5,,,,
-542042,211.3,,,,
-541895,,203.6,,,
-541726,,209.6,,,
-541534,212.2,,,,
-541036,212.3,,,,
-540790,,205.0,,,
-540563,212.9,,,,
-540552,,210.3,,,
-540094,212.9,,,,
-539704,,211.2,,,
-539647,213.4,,,,
-539395,,208.1,,,
-539191,213.1,,,,
-538762,213.8,,,,
-538634,,212.9,,,
-538344,214.0,,,,
-538204,,203.6,,,
-537914,213.7,,,,
-537564,,206.4,,,
-537526,214.8,,,,
-537150,215.0,,,,
-537009,,205.0,,,
-536782,215.3,,,,
-536491,,205.0,,,
-536399,214.8,,,,
-535998,214.4,,,,
-535820,,211.2,,,
-535569,213.6,,,,
-535384,,199.4,,,
-535137,213.6,,,,
-534685,213.1,,,,
-534672,,212.9,,,
-534228,,199.8,,,
-534219,212.8,,,,
-533745,,190.5,,,
-533713,211.9,,,,
-533533,,206.4,,,
-533207,212.0,,,,
-533094,,193.8,,,
-532718,,195.1,,,
-532667,211.2,,,,
-532414,,205.0,,,
-532160,211.9,,,,
-531982,,200.0,,,
-531651,211.9,,,,
-531604,,204.4,,,
-531296,,199.4,,,
-531169,212.5,,,,
-531038,,211.4,,,
-530704,212.8,,,,
-530643,,214.5,,,
-530216,212.3,,,,
-530169,,199.8,,,
-530129,,220.7,,,
-529712,,190.5,,,
-529693,211.6,,,,
-529251,,220.3,,,
-529153,211.3,,,,
-529085,,193.8,,,
-528735,,195.1,,,
-528612,211.3,,,,
-528341,,221.2,,,
-528081,211.5,,,,
-528066,,200.0,,,
-527690,,204.4,,,
-527548,211.4,,,,
-527453,,222.7,,,
-527151,,211.4,,,
-526966,210.5,,,,
-526797,,214.5,,,
-526567,,224.7,,,
-526369,210.3,,,,
-526312,,220.7,,,
-525779,210.4,,,,
-525749,,227.8,,,
-525504,,220.3,,,
-525202,210.6,,,,
-524946,,230.3,,,
-524711,,221.2,,,
-524628,210.6,,,,
-524157,,233.7,,,
-524072,210.9,,,,
-523958,,222.7,,,
-523521,211.1,,,,
-523387,,235.8,,,
-523214,,224.7,,,
-522978,211.2,,,,
-522621,,236.8,,,
-522459,,227.8,,,
-522427,211.0,,,,
-521868,210.9,,,,
-521852,,241.9,,,
-521716,,230.3,,,
-521310,210.9,,,,
-520973,,233.7,,,
-520750,210.9,,,,
-520266,,235.8,,,
-520186,210.8,,,,
-519624,,243.5,,,
-519612,210.6,,,,
-519602,,236.8,,,
-519052,210.8,,,,
-518942,,241.9,,,
-518872,,245.5,,,
-518534,211.7,,,,
-518123,,247.7,,,
-518015,211.6,,,,
-517493,211.5,,,,
-517379,,245.3,,,
-517015,,243.5,,,
-516974,211.6,,,,
-516650,,245.5,,,
-516445,211.4,,,,
-516384,,245.5,,,
-515933,211.7,,,,
-515926,,246.2,,,
-515756,,247.7,,,
-515393,211.1,,,,
-515205,,247.2,,,
-515119,,245.3,,,
-514851,211.1,,,,
-514471,,243.0,,,
-514467,,245.5,,,
-514286,210.6,,,,
-513821,,246.2,,,
-513733,210.9,,,,
-513701,,241.5,,,
-513169,210.6,,,,
-513163,,247.2,,,
-512898,,239.2,,,
-512636,211.2,,,,
-512479,,243.0,,,
-512094,211.0,,,,
-512083,,238.2,,,
-511774,,241.5,,,
-511581,211.6,,,,
-511255,,242.0,,,
-511103,212.3,,,,
-511047,,239.2,,,
-510653,212.9,,,,
-510414,,235.2,,,
-510319,,238.2,,,
-510214,213.1,,,,
-509802,213.8,,,,
-509565,,242.0,,,
-509562,,236.4,,,
-509394,213.8,,,,
-508996,214.1,,,,
-508815,,235.2,,,
-508702,,233.4,,,
-508593,213.9,,,,
-508178,213.6,,,,
-508058,,236.4,,,
-507835,,240.3,,,
-507748,213.2,,,,
-507338,213.8,,,,
-507297,,233.4,,,
-506991,,237.0,,,
-506914,213.4,,,,
-506526,,240.3,,,
-506488,213.3,,,,
-506168,,238.2,,,
-506060,213.2,,,,
-505764,,237.0,,,
-505653,213.8,,,,
-505362,,236.0,,,
-505248,213.8,,,,
-505061,,238.2,,,
-504819,213.2,,,,
-504534,,235.5,,,
-504412,213.7,,,,
-504337,,236.0,,,
-504001,213.6,,,,
-503734,,233.9,,,
-503598,213.8,,,,
-503566,,235.5,,,
-503184,213.5,,,,
-502962,,234.1,,,
-502827,,233.9,,,
-502773,213.5,,,,
-502351,213.2,,,,
-502227,,232.2,,,
-502133,,234.1,,,
-501976,214.5,,,,
-501608,214.6,,,,
-501469,,232.0,,,
-501425,,232.2,,,
-501239,214.6,,,,
-500872,214.6,,,,
-500688,,231.2,,,
-500675,,232.0,,,
-500486,214.1,,,,
-500128,214.9,,,,
-499916,,231.2,,,
-499911,,230.8,,,
-499760,214.5,,,,
-499398,214.7,,,,
-499180,,230.8,,,
-499134,,228.2,,,
-499031,214.6,,,,
-498663,214.5,,,,
-498413,,228.2,,,
-498355,,230.8,,,
-498303,214.7,,,,
-497936,214.5,,,,
-497660,,230.8,,,
-497577,,230.6,,,
-497569,214.5,,,,
-497198,214.4,,,,
-496915,,230.6,,,
-496832,214.5,,,,
-496787,,232.8,,,
-496448,213.9,,,,
-496154,,232.8,,,
-496080,214.4,,,,
-496016,,236.5,,,
-495686,213.6,,,,
-495416,,236.5,,,
-495291,213.6,,,,
-495238,,236.4,,,
-494891,213.5,,,,
-494658,,236.4,,,
-494509,213.9,,,,
-494494,,237.6,,,
-494125,213.9,,,,
-493903,,237.6,,,
-493776,,238.5,,,
-493728,213.5,,,,
-493312,213.0,,,,
-493135,,238.5,,,
-493074,,238.3,,,
-492896,212.9,,,,
-492487,213.1,,,,
-492361,,238.3,,,
-492350,,239.1,,,
-492083,213.2,,,,
-491655,212.6,,,,
-491643,,239.7,,,
-491557,,239.1,,,
-491219,212.4,,,,
-490914,,243.7,,,
-490789,212.5,,,,
-490788,,239.7,,,
-490359,212.5,,,,
-490205,,246.7,,,
-490009,,243.7,,,
-489927,212.4,,,,
-489501,,243.3,,,
-489487,212.2,,,,
-489241,,246.7,,,
-489049,212.2,,,,
-488784,,242.6,,,
-488616,212.3,,,,
-488545,,249.3,,,
-488495,,243.3,,,
-488188,212.4,,,,
-488076,,252.8,,,
-487772,,242.6,,,
-487770,,240.9,,,
-487766,212.5,,,,
-487525,,249.3,,,
-487352,,242.0,,,
-487335,212.3,,,,
-487046,,252.8,,,
-486908,212.4,,,,
-486739,,240.9,,,
-486615,,237.1,,,
-486473,212.2,,,,
-486318,,242.0,,,
-486037,212.1,,,,
-485898,,231.3,,,
-485645,213.2,,,,
-485591,,237.1,,,
-485267,213.6,,,,
-485179,,232.9,,,
-484890,213.6,,,,
-484866,,231.3,,,
-484509,213.5,,,,
-484449,,233.0,,,
-484126,213.4,,,,
-484093,,232.9,,,
-483735,213.2,,,,
-483718,,231.2,,,
-483334,212.9,,,,
-483326,,233.0,,,
-482986,,231.4,,,
-482929,212.8,,,,
-482535,213.1,,,,
-482515,,231.2,,,
-482230,,231.4,,,
-482166,213.7,,,,
-481810,214.1,,,,
-481699,,231.4,,,
-481445,,227.3,,,
-481441,213.6,,,,
-481080,213.9,,,,
-480853,,231.4,,,
-480714,213.7,,,,
-480631,,223.4,,,
-480345,213.6,,,,
-479982,,227.3,,,
-479977,213.7,,,,
-479713,,223.8,,,
-479619,213.9,,,,
-479240,213.3,,,,
-479085,,223.4,,,
-478873,213.6,,,,
-478777,,218.8,,,
-478508,213.7,,,,
-478378,,220.8,,,
-478158,,223.8,,,
-478147,213.8,,,,
-477826,,231.3,,,
-477789,213.8,,,,
-477453,,236.5,,,
-477430,213.8,,,,
-477194,,218.8,,,
-477091,214.3,,,,
-476942,,239.1,,,
-476771,,220.8,,,
-476750,214.3,,,,
-476405,214.1,,,,
-476174,,231.3,,,
-476064,214.2,,,,
-475991,,236.6,,,
-475769,,236.5,,,
-475719,214.1,,,,
-475384,214.4,,,,
-475212,,239.1,,,
-475040,214.1,,,,
-475000,,232.8,,,
-474701,214.2,,,,
-474365,214.3,,,,
-474290,,236.6,,,
-474034,214.4,,,,
-473975,,233.1,,,
-473696,214.2,,,,
-473359,214.2,,,,
-473268,,232.8,,,
-473024,,241.2,,,
-473023,214.2,,,,
-472696,214.5,,,,
-472359,214.1,,,,
-472212,,233.1,,,
-472142,,245.6,,,
-472039,214.7,,,,
-471851,,243.9,,,
-471714,214.5,,,,
-471390,214.5,,,,
-471268,,243.7,,,
-471152,,241.2,,,
-471066,214.5,,,,
-470913,,232.7,,,
-470748,214.7,,,,
-470430,214.7,,,,
-470313,,229.2,,,
-470145,,245.6,,,
-470122,215.0,,,,
-469875,,218.7,,,
-469818,215.1,,,,
-469813,,243.9,,,
-469524,215.5,,,,
-469251,,215.5,,,
-469234,215.6,,,,
-469096,,243.7,,,
-468946,215.7,,,,
-468776,,206.5,,,
-468654,215.5,,,,
-468647,,232.7,,,
-468360,215.4,,,,
-468094,216.5,,,,
-468090,,205.5,,,
-467991,,229.2,,,
-467798,215.3,,,,
-467520,,218.7,,,
-467505,215.5,,,,
-467208,215.3,,,,
-466928,,203.4,,,
-466906,215.1,,,,
-466860,,215.5,,,
-466602,215.1,,,,
-466373,,206.5,,,
-466285,214.6,,,,
-465962,214.4,,,,
-465757,,204.4,,,
-465652,,205.5,,,
-465640,214.5,,,,
-465316,214.4,,,,
-464989,214.3,,,,
-464682,,208.1,,,
-464668,214.5,,,,
-464335,214.1,,,,
-464315,,203.4,,,
-464002,214.1,,,,
-463657,213.7,,,,
-463652,,210.0,,,
-463317,213.9,,,,
-463315,,205.2,,,
-462966,213.5,,,,
-462916,,204.4,,,
-462649,,199.9,,,
-462608,213.3,,,,
-462230,212.8,,,,
-461866,213.1,,,,
-461577,,194.4,,,
-461506,,208.1,,,
-461495,213.0,,,,
-461117,212.8,,,,
-460719,212.2,,,,
-460464,,190.7,,,
-460313,212.0,,,,
-460183,,210.0,,,
-459936,212.8,,,,
-459737,,205.2,,,
-459579,213.3,,,,
-459336,,195.5,,,
-459246,214.0,,,,
-458905,213.8,,,,
-458842,,199.9,,,
-458551,213.4,,,,
-458302,,202.4,,,
-458180,212.9,,,,
-457785,212.3,,,,
-457480,,194.4,,,
-457356,211.4,,,,
-457262,,208.3,,,
-456913,211.0,,,,
-456844,,203.3,,,
-456505,211.9,,,,
-456258,,204.3,,,
-456122,212.6,,,,
-456099,,190.7,,,
-455795,,199.1,,,
-455772,213.5,,,,
-455445,214.2,,,,
-455164,,192.5,,,
-455090,213.2,,,,
-454721,212.9,,,,
-454641,,195.5,,,
-454311,211.8,,,,
-454052,,193.3,,,
-453864,210.9,,,,
-453448,211.7,,,,
-453329,,202.4,,,
-452987,210.6,,,,
-452914,,198.4,,,
-452479,209.5,,,,
-452073,,208.3,,,
-452001,210.2,,,,
-451826,,201.9,,,
-451564,,203.3,,,
-451518,210.0,,,,
-451022,209.7,,,,
-450845,,204.3,,,
-450786,,204.9,,,
-450530,209.8,,,,
-450333,,199.1,,,
-450048,210.0,,,,
-449797,,201.2,,,
-449643,,192.5,,,
-449606,210.9,,,,
-449156,210.7,,,,
-448728,211.2,,,,
-448693,,201.7,,,
-448505,,193.3,,,
-448287,210.9,,,,
-447813,210.1,,,,
-447621,,208.1,,,
-447336,210.0,,,,
-447294,,198.4,,,
-446854,209.9,,,,
-446509,,203.5,,,
-446358,209.6,,,,
-446153,,201.9,,,
-445849,209.3,,,,
-445360,209.7,,,,
-445269,,201.1,,,
-445034,,204.9,,,
-444864,209.5,,,,
-444401,210.2,,,,
-443973,211.0,,,,
-443879,,201.2,,,
-443563,211.4,,,,
-443382,,199.1,,,
-443160,211.6,,,,
-442743,211.2,,,,
-442700,,201.7,,,
-442324,211.2,,,,
-441895,,202.0,,,
-441879,210.5,,,,
-441612,,208.1,,,
-441468,211.3,,,,
-441071,211.7,,,,
-440626,210.5,,,,
-440461,,203.5,,,
-440281,,201.3,,,
-440193,210.8,,,,
-439776,211.1,,,,
-439358,211.1,,,,
-439270,,201.1,,,
-438929,210.8,,,,
-438710,,201.7,,,
-438540,211.8,,,,
-438160,212.1,,,,
-437786,212.2,,,,
-437615,,199.1,,,
-437362,210.9,,,,
-437113,,200.3,,,
-436931,210.7,,,,
-436508,210.9,,,,
-436406,,202.0,,,
-436085,210.9,,,,
-435650,210.6,,,,
-435535,,207.5,,,
-435242,211.3,,,,
-435202,,201.3,,,
-434810,210.6,,,,
-434358,210.2,,,,
-434039,,201.7,,,
-433990,,209.8,,,
-433907,210.2,,,,
-433466,210.4,,,,
-433006,210.0,,,,
-432854,,200.3,,,
-432542,209.9,,,,
-432429,,207.6,,,
-432086,210.1,,,,
-431900,,211.5,,,
-431724,,207.5,,,
-431624,209.9,,,,
-431136,209.4,,,,
-430663,209.7,,,,
-430649,,209.8,,,
-430229,,227.2,,,
-430218,210.3,,,,
-429787,210.6,,,,
-429495,,207.6,,,
-429318,209.7,,,,
-429113,,211.5,,,
-429074,,219.7,,,
-428878,210.4,,,,
-428419,209.9,,,,
-427974,210.2,,,,
-427926,,227.2,,,
-427567,211.2,,,,
-427228,,242.5,,,
-427125,210.3,,,,
-427056,,219.7,,,
-426890,,248.2,,,
-426673,210.0,,,,
-426228,210.2,,,,
-425991,,252.1,,,
-425769,209.9,,,,
-425616,,242.5,,,
-425335,,248.2,,,
-425325,210.2,,,,
-425205,,255.3,,,
-424886,210.3,,,,
-424672,,265.4,,,
-424648,,252.1,,,
-424469,210.8,,,,
-424287,,270.0,,,
-424083,211.6,,,,
-424025,,255.3,,,
-423791,,270.8,,,
-423706,211.8,,,,
-423619,,265.4,,,
-423383,213.5,,,,
-423292,,270.0,,,
-423182,,268.3,,,
-423033,212.5,,,,
-422890,,270.8,,,
-422719,213.7,,,,
-422558,,267.7,,,
-422405,213.6,,,,
-422382,,268.3,,,
-422124,214.8,,,,
-421858,215.4,,,,
-421814,,267.7,,,
-421607,216.0,,,,
-421339,215.2,,,,
-421276,,270.6,,,
-421093,216.1,,,,
-420866,217.0,,,,
-420699,,270.6,,,
-420640,217.0,,,,
-420583,,266.4,,,
-420428,217.6,,,,
-420224,218.0,,,,
-420124,,266.4,,,
-420028,218.4,,,,
-419962,,268.6,,,
-419828,218.2,,,,
-419605,217.1,,,,
-419534,,268.6,,,
-419361,216.1,,,,
-419124,216.4,,,,
-418873,215.8,,,,
-418752,,273.8,,,
-418629,216.1,,,,
-418400,,273.8,,,
-418398,216.6,,,,
-418184,,271.2,,,
-418164,216.5,,,,
-417921,216.1,,,,
-417858,,271.2,,,
-417682,216.2,,,,
-417626,,273.7,,,
-417453,216.7,,,,
-417310,,273.7,,,
-417222,216.5,,,,
-417004,217.1,,,,
-416790,217.2,,,,
-416581,217.5,,,,
-416555,,274.6,,,
-416369,217.3,,,,
-416295,,274.6,,,
-416154,217.2,,,,
-416007,,271.8,,,
-415949,217.7,,,,
-415748,,271.8,,,
-415740,217.4,,,,
-415533,217.5,,,,
-415490,,273.4,,,
-415344,218.5,,,,
-415241,,273.4,,,
-415138,217.4,,,,
-414935,217.7,,,,
-414734,217.7,,,,
-414543,218.3,,,,
-414475,,271.7,,,
-414347,218.0,,,,
-414243,,271.7,,,
-414153,218.0,,,,
-413996,,276.4,,,
-413966,218.4,,,,
-413776,218.2,,,,
-413767,,276.4,,,
-413581,217.9,,,,
-413390,218.2,,,,
-413230,,271.6,,,
-413192,217.6,,,,
-413013,,271.6,,,
-412996,217.8,,,,
-412801,217.8,,,,
-412611,218.1,,,,
-412413,217.6,,,,
-412261,,264.9,,,
-412216,217.6,,,,
-412023,217.9,,,,
-411998,,264.9,,,
-411828,217.7,,,,
-411626,217.4,,,,
-411437,218.0,,,,
-411309,,274.9,,,
-411250,218.2,,,,
-411060,217.9,,,,
-411012,,274.9,,,
-410872,218.0,,,,
-410693,218.6,,,,
-410501,217.7,,,,
-410312,217.9,,,,
-410124,218.0,,,,
-409934,217.8,,,,
-409746,217.9,,,,
-409571,218.7,,,,
-409403,219.1,,,,
-409398,,283.5,,,
-409230,218.7,,,,
-409121,,283.5,,,
-409056,218.7,,,,
-408882,218.6,,,,
-408713,219.0,,,,
-408542,218.8,,,,
-408504,,282.6,,,
-408372,218.9,,,,
-408256,,282.6,,,
-408207,219.2,,,,
-408037,218.8,,,,
-407872,219.2,,,,
-407712,219.4,,,,
-407648,,274.7,,,
-407553,219.6,,,,
-407433,,274.2,,,
-407433,,275.2,,,
-407390,219.2,,,,
-407235,219.7,,,,
-407079,219.7,,,,
-406918,219.3,,,,
-406869,,284.5,,,
-406751,219.0,,,,
-406650,,284.5,,,
-406587,219.2,,,,
-406426,219.3,,,,
-406274,219.8,,,,
-406117,219.6,,,,
-405956,219.2,,,,
-405807,220.2,,,,
-405646,219.1,,,,
-405495,220.0,,,,
-405346,220.1,,,,
-405332,,285.6,,,
-405186,219.2,,,,
-405143,,285.6,,,
-405030,219.5,,,,
-404864,218.9,,,,
-404705,219.3,,,,
-404593,,279.6,,,
-404552,219.8,,,,
-404418,,279.6,,,
-404400,219.7,,,,
-404245,219.5,,,,
-404089,219.5,,,,
-403925,219.0,,,,
-403766,219.3,,,,
-403601,218.8,,,,
-403437,218.9,,,,
-403277,219.1,,,,
-403121,219.4,,,,
-403113,,280.5,,,
-402977,,280.5,,,
-402954,218.7,,,,
-402793,219.1,,,,
-402635,219.2,,,,
-402473,219.0,,,,
-402363,,276.5,,,
-402316,219.3,,,,
-402231,,276.5,,,
-402157,219.1,,,,
-402004,219.6,,,,
-401846,219.2,,,,
-401687,219.1,,,,
-401522,218.8,,,,
-401353,218.5,,,,
-401193,219.2,,,,
-401025,218.6,,,,
-400910,,275.7,,,
-400857,218.6,,,,
-400781,,275.7,,,
-400689,218.6,,,,
-400521,218.6,,,,
-400355,218.8,,,,
-400191,,283.1,,,
-400178,218.0,,,,
-400050,,283.1,,,
-399997,217.8,,,,
-399821,218.2,,,,
-399652,218.6,,,,
-399478,218.2,,,,
-399294,217.7,,,,
-399108,217.5,,,,
-398918,217.4,,,,
-398760,,283.2,,,
-398728,217.3,,,,
-398554,,283.2,,,
-398531,217.0,,,,
-398347,217.7,,,,
-398159,217.4,,,,
-397976,,277.1,,,
-397972,217.5,,,,
-397772,,277.1,,,
-397766,216.5,,,,
-397554,216.2,,,,
-397355,216.9,,,,
-397157,216.9,,,,
-396968,217.4,,,,
-396769,216.9,,,,
-396571,216.9,,,,
-396369,216.7,,,,
-396325,,276.3,,,
-396168,216.8,,,,
-396136,,276.3,,,
-395958,216.3,,,,
-395746,216.3,,,,
-395530,216.0,,,,
-395312,215.9,,,,
-395086,215.5,,,,
-394876,216.3,,,,
-394662,216.2,,,,
-394429,215.2,,,,
-394191,215.0,,,,
-393960,215.3,,,,
-393720,214.9,,,,
-393482,215.0,,,,
-393240,214.8,,,,
-392993,214.6,,,,
-392956,,260.7,,,
-392734,214.1,,,,
-392610,,260.7,,,
-392476,214.1,,,,
-392208,213.8,,,,
-392054,,273.6,,,
-391933,213.5,,,,
-391652,213.3,,,,
-391629,,273.6,,,
-391362,212.9,,,,
-391071,212.9,,,,
-391027,,259.5,,,
-390773,212.7,,,,
-390594,,259.5,,,
-390483,212.9,,,,
-390337,,258.1,,,
-390194,213.0,,,,
-389946,,266.3,,,
-389888,212.4,,,,
-389565,211.8,,,,
-389246,212.0,,,,
-388909,211.3,,,,
-388566,211.2,,,,
-388249,212.0,,,,
-387996,,250.1,,,
-387931,211.9,,,,
-387632,212.6,,,,
-387460,,245.8,,,
-387334,212.6,,,,
-387055,213.2,,,,
-386783,213.5,,,,
-386527,214.1,,,,
-386285,214.7,,,,
-386112,,255.2,,,
-386027,214.0,,,,
-385875,,246.8,,,
-385766,213.9,,,,
-385500,213.7,,,,
-385218,213.1,,,,
-384939,213.2,,,,
-384672,213.7,,,,
-384385,212.9,,,,
-384334,,239.1,,,
-384194,,259.2,,,
-384092,212.7,,,,
-383792,212.5,,,,
-383481,212.0,,,,
-383448,,264.6,,,
-383177,212.3,,,,
-382871,212.2,,,,
-382607,,240.0,,,
-382588,213.0,,,,
-382584,,258.1,,,
-382302,212.9,,,,
-382010,212.6,,,,
-381743,213.6,,,,
-381474,213.5,,,,
-381208,213.6,,,,
-380981,,227.0,,,
-380944,213.7,,,,
-380720,,245.8,,,
-380669,213.2,,,,
-380391,213.1,,,,
-380107,212.9,,,,
-379831,213.2,,,,
-379556,213.3,,,,
-379268,212.7,,,,
-379182,,246.8,,,
-378971,212.4,,,,
-378673,212.4,,,,
-378371,212.2,,,,
-378057,211.8,,,,
-377746,,239.1,,,
-377729,211.3,,,,
-377427,212.2,,,,
-377110,211.7,,,,
-376810,,229.6,,,
-376798,211.9,,,,
-376477,211.5,,,,
-376162,211.8,,,,
-376146,,240.0,,,
-375831,211.2,,,,
-375494,211.0,,,,
-375156,211.0,,,,
-375085,,224.6,,,
-374812,210.8,,,,
-374618,,227.0,,,
-374462,210.6,,,,
-374108,210.5,,,,
-373751,210.3,,,,
-373428,211.4,,,,
-373255,,214.7,,,
-373119,211.8,,,,
-372819,212.1,,,,
-372527,212.4,,,,
-372250,212.9,,,,
-371984,213.3,,,,
-371699,212.6,,,,
-371508,,199.9,,,
-371403,212.2,,,,
-371098,211.8,,,,
-370794,211.9,,,,
-370696,,229.6,,,
-370489,211.8,,,,
-370184,211.8,,,,
-369888,212.1,,,,
-369567,211.2,,,,
-369436,,201.9,,,
-369247,211.2,,,,
-369140,,224.6,,,
-368934,211.5,,,,
-368605,210.9,,,,
-368275,210.9,,,,
-367931,210.5,,,,
-367573,210.0,,,,
-367496,,214.7,,,
-367245,210.9,,,,
-366922,211.0,,,,
-366605,211.2,,,,
-366284,211.1,,,,
-366116,,206.3,,,
-365956,210.8,,,,
-365906,,199.9,,,
-365620,210.5,,,,
-365294,210.9,,,,
-364966,210.8,,,,
-364639,210.7,,,,
-364322,211.0,,,,
-364285,,201.9,,,
-364002,211.0,,,,
-363658,210.1,,,,
-363312,210.1,,,,
-363240,,201.2,,,
-362992,210.9,,,,
-362681,211.1,,,,
-362361,210.8,,,,
-362054,211.2,,,,
-361747,211.2,,,,
-361443,211.3,,,,
-361435,,206.3,,,
-361107,210.1,,,,
-360779,210.4,,,,
-360618,,185.8,,,
-360467,210.9,,,,
-360144,210.6,,,,
-359802,209.9,,,,
-359484,210.7,,,,
-359136,209.7,,,,
-359007,,201.2,,,
-358809,210.3,,,,
-358734,,186.1,,,
-358467,209.8,,,,
-358140,210.3,,,,
-357797,209.7,,,,
-357455,209.7,,,,
-357114,209.7,,,,
-357060,,193.0,,,
-356762,,185.8,,,
-356758,209.2,,,,
-356412,209.5,,,,
-356065,209.5,,,,
-355726,209.7,,,,
-355386,209.6,,,,
-355053,209.8,,,,
-354948,,186.1,,,
-354723,209.9,,,,
-354382,209.6,,,,
-354040,209.5,,,,
-353868,,209.2,,,
-353694,209.4,,,,
-353353,209.5,,,,
-353352,,193.0,,,
-353019,209.7,,,,
-352701,210.2,,,,
-352463,,209.4,,,
-352410,211.1,,,,
-352115,210.9,,,,
-351824,211.0,,,,
-351525,210.7,,,,
-351225,,216.2,,,
-351222,210.6,,,,
-350920,210.6,,,,
-350617,210.6,,,,
-350325,,209.2,,,
-350318,210.7,,,,
-350016,210.5,,,,
-349726,,221.1,,,
-349713,210.5,,,,
-349412,210.6,,,,
-349118,210.8,,,,
-348975,,209.4,,,
-348811,210.3,,,,
-348524,211.0,,,,
-348240,211.1,,,,
-347958,211.2,,,,
-347738,,216.2,,,
-347664,210.7,,,,
-347401,212.0,,,,
-347189,,220.3,,,
-347099,210.4,,,,
-346778,209.8,,,,
-346454,209.7,,,,
-346348,,221.1,,,
-346148,210.3,,,,
-345860,211.0,,,,
-345595,,211.9,,,
-345545,209.9,,,,
-345230,209.9,,,,
-344929,210.4,,,,
-344603,209.5,,,,
-344371,,204.8,,,
-344290,210.0,,,,
