max temp,year
12.384007352941175,1851
8.463218390804599,1852
,1853
,1854
12.724776119402986,1855
8.083333333333334,1856
,1857
,1858
,1859
,1860
13.731754874651807,1861
,1862
15.321725239616615,1863
14.467759562841529,1864
15.047397260273973,1865
15.135342465753423,1866
14.37753424657534,1867
14.440710382513664,1868
14.261917808219179,1869
14.053972602739725,1870
11.133606557377052,1871
14.013489736070383,1872
13.517260273972603,1873
14.290136986301372,1874
13.642191780821916,1875
13.826229508196723,1876
13.597260273972603,1877
13.676712328767124,1878
12.487671232876712,1879
14.131010928961748,1880
12.880083565459609,1881
13.067396593673967,1882
13.11251758087201,1883
13.564754098360657,1884
12.315342465753425,1885
12.133333333333333,1886
12.561552511415526,1887
12.028858447488583,1888
12.610786106032908,1889
12.62327506899724,1890
12.273333333333335,1891
11.886844526218951,1892
13.5075799086758,1893
12.860355029585799,1894
12.794927536231883,1895
12.950910746812385,1896
12.643835616438356,1897
13.199086757990868,1898
13.255027422303474,1899
12.719817351598174,1900
12.64624542124542,1901
12.446343692870201,1902
12.326392694063928,1903
12.67617079889807,1904
12.971497252747254,1905
12.897328767123287,1906
12.520616438356164,1907
13.090068493150685,1908
12.549656593406596,1909
12.519931506849316,1910
13.299108978752571,1911
12.68639175257732,1912
13.001794340924775,1913
13.14479015918958,1914
12.419620253164554,1915
12.426289752650177,1916
12.062473940236277,1917
13.04527397260274,1918
12.510736407432896,1919
12.841953619114546,1920
13.303693181818181,1921
11.741212956581668,1922
11.589145658263305,1923
11.729878484631879,1924
11.89532967032967,1925
12.548767123287671,1926
12.13582191780822,1927
12.505737704918033,1928
12.242808219178082,1929
11.920890410958904,1930
12.160205479452056,1931
12.423702185792349,1932
12.745616438356164,1933
12.529938059187888,1934
12.08869745003446,1935
12.043374316939891,1936
11.909383561643835,1937
12.38303507516106,1938
12.513082191780821,1939
12.750256035113386,1940
12.002808219178082,1941
12.199109589041097,1942
12.528013698630138,1943
12.167622950819673,1944
12.976369863013698,1945
11.916301369863016,1946
11.75986301369863,1947
12.391734972677595,1948
13.004383561643836,1949
11.87082191780822,1950
11.779566130160951,1951
11.63734375,1952
12.231141552511414,1953
11.723158914728682,1954
11.919086757990867,1955
